dayofyear	superior_sst	michigan-huron_sst	erie_sst	ontario_sst
248	288.0322727272727	292.6032954545454	295.5068181818182	293.96022727272725
249	287.98022727272723	292.47113636363633	295.4293181818182	293.8654545454545
250	287.8325	292.3231818181818	295.33181818181816	293.7270454545454
251	287.7295454545454	292.1984090909091	295.17545454545456	293.635
252	287.6081818181818	292.0585227272727	294.96090909090907	293.43249999999995
253	287.49727272727273	291.9588636363636	294.80068181818183	293.2231818181818
254	287.4261363636364	291.8364772727272	294.7427272727272	293.08272727272725
255	287.2956818181818	291.7073863636364	294.62340909090904	292.98022727272723
256	287.17204545454547	291.60977272727274	294.48977272727274	292.85954545454547
257	287.04431818181814	291.48749999999995	294.41681818181814	292.73931818181813
258	286.8965909090909	291.3128409090909	294.3118181818182	292.65999999999997
259	286.7788636363636	291.1580681818182	294.04931818181814	292.43636363636364
260	286.6831818181818	291.0390909090909	293.8888636363636	292.2845454545454
261	286.61136363636365	290.9469318181818	293.7888636363636	292.2220454545454
262	286.48454545454547	290.8415909090909	293.6822727272727	292.1179545454545
263	286.36863636363637	290.73499999999996	293.58522727272725	291.9854545454545
264	286.17545454545456	290.56488636363633	293.4688636363636	291.87295454545455
265	285.9888636363636	290.3644318181818	293.33204545454544	291.6943181818182
266	285.8334090909091	290.1956818181818	293.0825	291.41636363636366
267	285.7065909090909	290.0238636363636	292.92727272727274	291.1959090909091
268	285.5456818181818	289.86999999999995	292.81090909090904	291.06545454545454
269	285.3890909090909	289.6918181818182	292.6775	290.99659090909086
270	285.2577272727272	289.5510227272727	292.4904545454545	290.865
271	285.0554545454545	289.37306818181816	292.2640909090909	290.695
272	284.80045454545456	289.15124999999995	292.0565909090909	290.5340909090909
273	284.6665909090909	288.90772727272724	291.7979545454545	290.2486363636363
274	284.61295454545456	288.6969318181818	291.5559090909091	289.98409090909087
275	284.47886363636366	288.51795454545453	291.4229545454545	289.7427272727272
276	284.26295454545453	288.2994318181818	291.28340909090906	289.55159090909086
277	284.12159090909086	288.08704545454543	291.0947727272727	289.33045454545453
278	283.99840909090904	287.9456818181818	290.8959090909091	289.1409090909091
279	283.8597727272727	287.78090909090906	290.72431818181815	288.95431818181817
280	283.70863636363634	287.6085227272727	290.5825	288.75227272727267
281	283.5404545454545	287.4302272727272	290.4231818181818	288.57954545454544
282	283.335	287.2447727272727	290.22590909090906	288.3865909090909
283	283.2688636363636	287.0979545454545	290.0372727272727	288.1872727272727
284	283.17818181818177	286.94624999999996	289.89204545454544	288.08931818181816
285	283.0213636363636	286.77022727272725	289.72022727272724	287.9270454545454
286	282.8654545454545	286.56488636363633	289.50704545454545	287.74795454545455
287	282.75	286.3660227272727	289.32454545454544	287.5206818181818
288	282.5643181818181	286.19602272727275	289.14204545454544	287.3222727272727
289	282.4170454545454	285.9915909090909	288.90863636363633	287.10999999999996
